Symbol,Instrument Type,Side,Quantity,Open Price,Mark,Unrealized P/L,Delta,Theta,Vega,Gamma,IV,IV Rank,DTE,Expiration Date,Strike Price,Multiplier,Underlying Symbol
AAPL 260117C00220000,Equity Option,Long,2,8.50,11.20,540.00,0.782,−0.045,0.312,0.008,0.28,45,337,01/17/2026,220.00,100,AAPL
AAPL 250221C00240000,Equity Option,Short,2,3.20,2.15,210.00,-0.285,0.095,-0.198,-0.012,0.31,48,28,02/21/2025,240.00,100,AAPL
NVDA 260116C00650000,Equity Option,Long,1,45.20,58.40,1320.00,0.768,−0.082,0.875,0.006,0.52,62,330,01/16/2026,650.00,100,NVDA
NVDA 250221C00750000,Equity Option,Short,1,12.50,8.30,420.00,-0.268,0.145,-0.642,-0.009,0.55,65,28,02/21/2025,750.00,100,NVDA
MSFT 260117P00380000,Equity Option,Long,1,28.40,34.20,580.00,-0.618,−0.068,0.524,0.007,0.29,38,337,01/17/2026,380.00,100,MSFT
MSFT 250221C00440000,Equity Option,Short,1,4.80,3.60,120.00,-0.218,0.088,-0.312,-0.008,0.30,40,28,02/21/2025,440.00,100,MSFT
./ESZ25 EW4Z5 251205P5400,Future Option,Short,2,18.50,12.20,1260.00,-0.128,0.285,-0.892,-0.004,0.22,35,16,12/05/2025,5400.00,50,/ES
./ESZ25 EW1Z5 251212P5250,Future Option,Long,1,48.20,62.40,1420.00,-0.215,−0.185,1.245,0.006,0.22,35,23,12/12/2025,5250.00,50,/ES
./ESZ25 EW4Z5 251205P5200,Future Option,Short,2,8.40,5.20,640.00,-0.065,0.142,-0.428,-0.002,0.22,35,16,12/05/2025,5200.00,50,/ES
QQQ 250118P00480000,Equity Option,Short,3,5.20,3.80,420.00,-0.245,0.178,-0.685,-0.010,0.27,42,44,01/18/2025,480.00,100,QQQ
QQQ 250118C00520000,Equity Option,Short,3,4.10,2.95,345.00,-0.198,0.152,-0.524,-0.008,0.27,42,44,01/18/2025,520.00,100,QQQ
SPY 250221P00570000,Equity Option,Short,2,4.85,3.20,330.00,-0.182,0.138,-0.412,-0.007,0.19,28,28,02/21/2025,570.00,100,SPY
