Stocks & ETF Options
Symbol,Description,Qty,Trade Price,Mark,Mrk Chng,P/L Open,P/L Day,Delta,Theta,Vega,Gamma,DTE,Exp,Strike,Type
.TSLA250221C350,100 (Weeklys) 21 FEB 25 350 CALL,-3,8.40,5.80,−0.45,780.00,−145.00,−0.242,0.168,−0.724,−0.009,28,02/21/25,350,C
.TSLA260116C280,100 (Weeklys) 16 JAN 26 280 CALL,2,35.20,48.60,0.85,2680.00,170.00,0.802,−0.058,0.985,0.005,330,01/16/26,280,C
.META250321P00550000,100 21 MAR 25 550 PUT,-2,6.20,4.10,−0.22,420.00,−88.00,−0.185,0.124,−0.428,−0.007,56,03/21/25,550,P
.META260116P00480000,100 16 JAN 26 480 PUT,1,42.80,55.20,1.20,1240.00,240.00,−0.728,−0.072,0.842,0.006,330,01/16/26,480,P
.META250321C00620000,100 21 MAR 25 620 CALL,-1,4.40,3.00,−0.18,140.00,−36.00,−0.188,0.108,−0.312,−0.006,56,03/21/25,620,C

Futures Options
Symbol,Description,Qty,Trade Price,Mark,Mrk Chng,P/L Open,P/L Day,Delta,Theta,Vega,Gamma,DTE,Exp,Strike,Type
./GCG5 GC1G5 250124P2600,/GC Feb25 2600 PUT,-2,18.40,10.20,−0.85,1640.00,−340.00,−0.082,0.225,−0.685,−0.003,18,01/24/25,2600,P
./GCG5 GC2G5 250131P2500,/GC Feb25 2500 PUT,-2,9.80,5.40,−0.42,880.00,−168.00,−0.058,0.168,−0.485,−0.002,25,01/31/25,2500,P
./GCG5 GC3G5 250207P2650,/GC Feb25 2650 PUT,1,48.20,62.40,1.80,1420.00,360.00,−0.195,−0.285,1.245,0.005,32,02/07/25,2650,P
